word,n_gram_score,pos,frequency,tf_idf,inf,match_count,volume_count,source
maps,2,NNS,5,0.00445422627469,-0.00204648363354,5458421,929038,1
ncr,2,JJ,5,0.00445422627469,-0.00204648363354,119424,24417,1
nonzero,2,NN,5,0.00445422627469,-0.00204648363354,694636,85365,1
pair,2,NN,5,0.00445422627469,-0.00204648363354,14077461,1939423,1
pair,2,VBP,5,0.00445422627469,-0.00204648363354,14077461,1939423,1
paper,2,NN,5,0.00445422627469,-0.00204648363354,43282488,2762904,1
pencil ball,10,NN,5,0.00445422627469,-0.00204648363354,1,1,1
proof,2,JJ,5,0.00445422627469,-0.00204648363354,15450745,2060173,1
reducing subspace,10,NN,5,0.00445422627469,-0.00204648363354,767,166,1
separation theorem,10,NN,5,0.00445422627469,-0.00204648363354,6442,2014,1
sequence,2,NN,5,0.00445422627469,-0.00204648363354,14320022,1333179,1
shows,2,VBZ,5,0.00445422627469,-0.00204648363354,39234520,2727304,1
subspaces,2,NNS,5,0.00445422627469,-0.00204648363354,156166,16918,1
vectors,2,NNS,5,0.00445422627469,-0.00204648363354,2851855,189336,1
version,2,NN,5,0.00445422627469,-0.00204648363354,15080989,1762849,1
zero column,10,NN,5,0.00445422627469,-0.00204648363354,2241,1414,1
Assume,2,NNP,4,0.00356338101976,-0.00170466646348,16153219,2239311,1
Circular Free,10,NNP,4,0.00356338101976,-0.00170466646348,795,583,1
Convex,2,NNP,4,0.00356338101976,-0.00170466646348,2228323,259897,1
Convex Sets,10,NNP,4,0.00356338101976,-0.00170466646348,27597,5399,1
Define,2,NNP,4,0.00356338101976,-0.00170466646348,10247176,1572617,1
Department,2,NNP,4,0.00356338101976,-0.00170466646348,27243899,1747044,1
Effros-Winkler,2,NNP,4,0.00356338101976,-0.00170466646348,1,1,1
Free Spectrahedra,10,NNP,4,0.00356338101976,-0.00170466646348,1,1,1
Gleichstellensatz,2,NNP,4,0.00356338101976,-0.00170466646348,1,1,1
Hahn-Banach separation,10,NNP,4,0.00356338101976,-0.00170466646348,1,1,1
LMIs,2,NNP,4,0.00356338101976,-0.00170466646348,3001,250,1
Matrix Convex,10,NNP,4,0.00356338101976,-0.00170466646348,1,1,1
Observe,2,NNP,4,0.00356338101976,-0.00170466646348,9631113,1925883,1
Operator,2,NNP,4,0.00356338101976,-0.00170466646348,7349983,786190,1
analysis,2,NN,4,0.00356338101976,-0.00170466646348,44572547,1899159,1
block zero,10,NN,4,0.00356338101976,-0.00170466646348,307,180,1
circular free,10,NN,4,0.00356338101976,-0.00170466646348,795,583,1
compact,2,JJ,4,0.00356338101976,-0.00170466646348,4420806,1036987,1
consisting,2,VBG,4,0.00356338101976,-0.00170466646348,7107831,1534001,1
